iter,score,food,len,pol_loss,val_loss,ent_loss,kl,clip,train_avg_reward
1,131.649,4.792,7.792,-0.00472,222.04714,-0.84462,0.00486,0.0523,0.8277
2,nan,nan,nan,-0.00311,278.86694,-0.80874,0.00396,0.0420,0.9926
3,nan,nan,nan,-0.00510,262.17329,-0.79733,0.00308,0.0256,1.0436
4,nan,nan,nan,-0.00302,194.70826,-0.83530,0.00672,0.1059,0.8143
5,nan,nan,nan,0.00250,297.99186,-0.75981,0.01785,0.2471,1.0940
6,nan,nan,nan,0.00139,295.68887,-0.74982,0.00693,0.0976,1.0660
7,nan,nan,nan,0.00395,224.56308,-0.79399,0.01914,0.2649,0.9356
8,nan,nan,nan,0.00941,194.64447,-0.79557,0.03831,0.3433,0.8988
9,nan,nan,nan,0.00691,301.47379,-0.72417,0.02507,0.2414,1.1426
10,281.963,9.875,12.875,-0.00888,302.30077,-0.72573,0.00766,0.1203,1.2882
11,nan,nan,nan,0.00272,223.18786,-0.76330,0.03193,0.2802,1.0309
12,nan,nan,nan,-0.00878,250.62612,-0.67095,0.00412,0.0469,1.1465
13,nan,nan,nan,-0.01037,287.51536,-0.68774,0.00486,0.0687,1.3043
14,nan,nan,nan,-0.01060,313.07715,-0.72008,0.00827,0.1184,1.2719
15,nan,nan,nan,-0.00922,294.44908,-0.74690,0.00693,0.1014,1.2394
16,nan,nan,nan,-0.01331,260.85903,-0.74394,0.00552,0.0708,1.1278
17,nan,nan,nan,-0.00556,226.58313,-0.76142,0.02505,0.2756,1.0529
18,nan,nan,nan,-0.00309,295.87457,-0.70504,0.03301,0.3383,1.2376
19,nan,nan,nan,0.00206,269.95749,-0.72752,0.03966,0.3919,1.1540
20,351.742,12.167,15.167,-0.01078,238.67669,-0.74657,0.01961,0.2330,1.0744
21,nan,nan,nan,-0.01728,234.45836,-0.75587,0.00301,0.0380,1.0766
22,nan,nan,nan,-0.01441,198.22585,-0.74821,0.00929,0.1185,1.0220
23,nan,nan,nan,-0.00678,210.13148,-0.73457,0.02041,0.2385,1.1007
24,nan,nan,nan,-0.01547,260.78652,-0.69878,0.00800,0.1065,1.3163
25,nan,nan,nan,-0.01849,278.48700,-0.71779,0.00286,0.0274,1.2694
26,nan,nan,nan,-0.02157,308.63533,-0.72018,0.00435,0.0544,1.3567
27,nan,nan,nan,-0.02266,277.44544,-0.72819,0.00699,0.1073,1.2310
28,nan,nan,nan,-0.01547,252.50333,-0.71874,0.01046,0.1478,1.2743
29,nan,nan,nan,-0.02497,281.35385,-0.74129,0.00483,0.0723,1.1747
30,361.101,12.125,15.125,-0.02004,240.84877,-0.72119,0.00118,0.0069,1.2335
31,nan,nan,nan,-0.02195,288.61384,-0.71513,0.00573,0.0833,1.2883
32,nan,nan,nan,-0.02362,235.42450,-0.72957,0.00094,0.0002,1.1814
33,nan,nan,nan,-0.01717,254.41312,-0.71970,0.01217,0.1619,1.2741
34,nan,nan,nan,-0.02167,262.50338,-0.72131,0.00428,0.0609,1.2105
35,nan,nan,nan,-0.01932,236.60664,-0.70894,0.01541,0.1981,1.2355
36,nan,nan,nan,-0.02417,350.19656,-0.66679,0.00603,0.0769,1.4189
37,nan,nan,nan,-0.02201,280.13671,-0.70345,0.00328,0.0362,1.2985
38,nan,nan,nan,-0.00827,171.59133,-0.75267,0.00941,0.1581,1.0847
39,nan,nan,nan,-0.02124,282.57255,-0.71484,0.01327,0.1995,1.3184
40,327.603,11.333,14.333,-0.02705,334.15336,-0.71935,0.00386,0.0455,1.3156
41,nan,nan,nan,-0.01117,208.53671,-0.76119,0.02127,0.2923,1.0341
42,nan,nan,nan,-0.02137,247.82521,-0.70498,0.00847,0.1245,1.2747
43,nan,nan,nan,-0.02163,223.58950,-0.76434,0.00964,0.1331,1.0161
44,nan,nan,nan,-0.03143,291.19311,-0.72592,0.00540,0.0684,1.2058
45,nan,nan,nan,-0.02310,238.27273,-0.73584,0.00406,0.0549,1.1732
46,nan,nan,nan,-0.02488,328.81780,-0.72351,0.01277,0.1889,1.2197
47,nan,nan,nan,-0.01230,252.47075,-0.73383,0.01830,0.2893,1.2242
48,nan,nan,nan,-0.02963,275.35153,-0.73787,0.00303,0.0327,1.2360
49,nan,nan,nan,-0.02927,294.17176,-0.74806,0.00358,0.0389,1.1464
50,429.106,14.542,17.542,-0.03281,302.91963,-0.73285,0.00336,0.0401,1.2065
51,nan,nan,nan,0.00115,241.45036,-0.72973,0.07472,0.3632,1.0868
52,nan,nan,nan,-0.02485,491.14821,-0.55486,0.00354,0.0391,1.3034
53,nan,nan,nan,0.00540,432.01205,-0.60022,0.07637,0.3414,1.4071
54,nan,nan,nan,-0.02165,537.22435,-0.43902,0.00393,0.0621,1.7971
55,nan,nan,nan,-0.02143,507.53552,-0.52169,0.00320,0.0403,1.6538
56,nan,nan,nan,-0.01448,372.36598,-0.59737,0.02229,0.2698,1.5993
57,nan,nan,nan,-0.02244,246.53726,-0.71934,0.00918,0.1445,1.1989
58,nan,nan,nan,-0.02640,338.16512,-0.67700,0.00202,0.0147,1.4276
59,nan,nan,nan,-0.03156,338.69043,-0.69260,0.00208,0.0170,1.3644
60,471.948,16.042,19.042,-0.02707,279.79291,-0.68468,0.00067,0.0026,1.4095
61,nan,nan,nan,-0.02883,314.93619,-0.68903,0.00808,0.1185,1.3665
62,nan,nan,nan,-0.02638,284.54285,-0.68870,0.00969,0.1218,1.3871
63,nan,nan,nan,-0.00445,248.48505,-0.68608,0.03711,0.2535,1.2695
64,nan,nan,nan,-0.02237,325.89374,-0.60663,0.01115,0.0777,1.2219
65,nan,nan,nan,-0.01172,329.13463,-0.60677,0.04483,0.2966,1.3574
66,nan,nan,nan,-0.02056,385.99057,-0.48797,0.00790,0.1106,1.8894
67,nan,nan,nan,-0.02326,380.98848,-0.57750,0.00590,0.0771,1.6712
68,nan,nan,nan,-0.02744,303.78376,-0.59374,0.00235,0.0245,1.5423
69,nan,nan,nan,0.00510,310.82121,-0.64509,0.05440,0.3952,1.5125
70,226.296,7.917,10.917,0.01260,276.07895,-0.69975,0.12073,0.4042,1.0624
71,nan,nan,nan,0.00244,431.34225,-0.49002,0.06593,0.4333,1.0972
72,nan,nan,nan,-0.00320,324.43204,-0.46361,0.02922,0.1729,1.7841
73,nan,nan,nan,-0.01606,253.14259,-0.60137,0.01215,0.1886,1.5308
74,nan,nan,nan,-0.01870,322.44568,-0.65361,0.00490,0.0655,1.3307
75,nan,nan,nan,0.00885,266.37065,-0.56569,0.13357,0.3383,1.3463
76,nan,nan,nan,-0.02305,317.93706,-0.34710,0.00345,0.0268,1.5708
77,nan,nan,nan,-0.02521,402.75183,-0.37468,0.00684,0.0891,1.6074
78,nan,nan,nan,-0.02781,435.79751,-0.41112,0.00289,0.0283,1.5860
79,nan,nan,nan,-0.02008,354.00726,-0.48115,0.01243,0.0878,1.4561
80,470.168,15.833,18.833,-0.01535,322.49119,-0.51467,0.02375,0.2501,1.3381
81,nan,nan,nan,-0.01292,358.07281,-0.46556,0.01136,0.1353,1.8452
82,nan,nan,nan,-0.01255,241.79670,-0.57829,0.00685,0.0970,1.5003
83,nan,nan,nan,-0.02379,264.16760,-0.61903,0.00282,0.0254,1.2258
84,nan,nan,nan,-0.01647,305.58476,-0.58932,0.00597,0.0838,1.5844
85,nan,nan,nan,-0.01044,249.53497,-0.58833,0.02061,0.2171,1.4007
86,nan,nan,nan,-0.01940,348.71017,-0.54306,0.00853,0.1158,1.6682
87,nan,nan,nan,-0.02401,353.13174,-0.59152,0.00179,0.0189,1.5289
88,nan,nan,nan,-0.01740,246.31177,-0.62524,0.00404,0.0532,1.4124
89,nan,nan,nan,-0.02558,317.00933,-0.61047,0.00239,0.0281,1.4943
90,503.849,17.208,20.208,-0.02493,313.07883,-0.62516,0.00745,0.1058,1.3756
91,nan,nan,nan,-0.01824,269.03155,-0.60520,0.00702,0.1006,1.3673
92,nan,nan,nan,-0.02024,300.45745,-0.60110,0.00222,0.0240,1.3858
93,nan,nan,nan,-0.00030,251.57490,-0.52788,0.06007,0.2541,1.3208
94,nan,nan,nan,-0.02085,424.57466,-0.36249,0.00534,0.0827,1.9991
95,nan,nan,nan,-0.01572,401.08320,-0.44683,0.01615,0.1232,1.7543
96,nan,nan,nan,-0.01809,285.33814,-0.50424,0.00498,0.0602,1.6032
97,nan,nan,nan,-0.01634,268.30487,-0.53671,0.00991,0.1487,1.5928
98,nan,nan,nan,0.01976,218.59134,-0.48872,0.20306,0.3208,1.3553
99,nan,nan,nan,-0.01704,444.42974,-0.30478,0.01688,0.1651,1.7388
100,312.092,10.750,13.750,-0.02749,439.04850,-0.34500,0.00150,0.0110,1.4987
101,nan,nan,nan,-0.02499,400.71319,-0.32414,0.00334,0.0408,1.5976
102,nan,nan,nan,0.01089,384.28875,-0.21357,0.15950,0.2667,1.6209
103,nan,nan,nan,-0.02051,415.46265,-0.11547,0.01644,0.0625,2.2894
104,nan,nan,nan,-0.00783,420.25937,-0.14987,0.03051,0.0964,2.2171
105,nan,nan,nan,-0.01448,411.47690,-0.21622,0.00811,0.0820,2.2695
106,nan,nan,nan,-0.00826,314.42499,-0.27514,0.00730,0.0838,2.1126
107,nan,nan,nan,-0.01347,358.97852,-0.34101,0.01111,0.1240,1.9833
108,nan,nan,nan,-0.02174,461.73796,-0.42740,0.01203,0.1301,1.7619
109,nan,nan,nan,-0.02760,315.62609,-0.49970,0.00218,0.0230,1.4826
110,473.340,16.125,19.125,0.00336,306.97995,-0.55202,0.04355,0.3415,1.4738
111,nan,nan,nan,0.04958,313.32920,-0.56716,0.36151,0.3945,1.1230
112,nan,nan,nan,0.04158,352.71741,-0.26285,0.32775,0.4048,1.0771
113,nan,nan,nan,-0.02612,487.56330,-0.07461,0.00428,0.0337,2.1168
114,nan,nan,nan,-0.02313,407.65839,-0.10525,0.01139,0.0618,2.2455
115,nan,nan,nan,-0.02768,439.23194,-0.10334,0.00140,0.0211,2.2678
116,nan,nan,nan,-0.02227,506.02707,-0.11210,0.00672,0.0493,2.3481
117,nan,nan,nan,-0.02513,417.44313,-0.12616,0.00294,0.0337,2.2621
118,nan,nan,nan,-0.02662,453.72804,-0.15082,0.00474,0.0476,2.2856
119,nan,nan,nan,-0.02088,432.15639,-0.18560,0.00931,0.0676,2.2889
120,316.450,10.708,13.708,-0.00319,420.10213,-0.26213,0.05037,0.1968,2.2919
121,nan,nan,nan,-0.02875,570.60753,-0.41081,0.00495,0.0754,1.2971
122,nan,nan,nan,-0.01058,508.63417,-0.38191,0.05587,0.3007,1.2728
123,nan,nan,nan,-0.01983,367.12845,-0.27214,0.00690,0.0636,2.0523
124,nan,nan,nan,-0.01353,325.77189,-0.33127,0.01358,0.1471,1.9672
125,nan,nan,nan,-0.01337,255.15348,-0.40698,0.00221,0.0216,1.5980
126,nan,nan,nan,-0.00109,311.48701,-0.40355,0.04197,0.1736,1.4173
127,nan,nan,nan,-0.01735,344.01929,-0.32452,0.00830,0.1122,1.7642
128,nan,nan,nan,-0.01817,371.62818,-0.38990,0.00645,0.0910,1.5889
129,nan,nan,nan,0.00735,327.87667,-0.36131,0.06777,0.2379,1.4063
130,587.465,19.208,22.208,-0.01331,413.81505,-0.22620,0.00534,0.0660,2.2416
131,nan,nan,nan,-0.02382,319.28364,-0.25599,0.00110,0.0129,2.1437
132,nan,nan,nan,-0.02124,368.23865,-0.28505,0.01666,0.1076,2.1390
133,nan,nan,nan,-0.00098,275.42187,-0.41778,0.02930,0.2395,1.6700
134,nan,nan,nan,-0.00115,382.25155,-0.46232,0.05965,0.2286,1.3398
135,nan,nan,nan,0.01000,463.60175,-0.31188,0.09068,0.2422,1.6349
136,nan,nan,nan,-0.00707,369.15303,-0.21831,0.01205,0.1027,2.2484
137,nan,nan,nan,-0.01848,327.49182,-0.29206,0.00559,0.0832,1.9657
138,nan,nan,nan,-0.02006,331.36507,-0.30692,0.01027,0.1039,1.8564
139,nan,nan,nan,-0.02157,281.21940,-0.28944,0.00104,0.0113,1.9290
140,543.045,18.333,21.333,-0.01588,265.00986,-0.30472,0.00466,0.0581,1.9700
141,nan,nan,nan,-0.02480,367.98123,-0.32148,0.00221,0.0302,1.9486
142,nan,nan,nan,-0.01248,354.70276,-0.34090,0.03636,0.1900,1.8188
143,nan,nan,nan,-0.01414,294.02232,-0.30373,0.00638,0.0550,2.0380
144,nan,nan,nan,-0.02889,391.36546,-0.34545,0.00411,0.0557,1.9860
145,nan,nan,nan,-0.01903,304.00752,-0.37693,0.00113,0.0131,1.7857
146,nan,nan,nan,-0.02144,337.45214,-0.40592,0.00515,0.0652,1.6813
147,nan,nan,nan,-0.02045,346.16852,-0.39910,0.00286,0.0361,1.7414
148,nan,nan,nan,0.01067,252.50653,-0.36304,0.06926,0.2058,1.5612
149,nan,nan,nan,-0.02060,343.49234,-0.24728,0.00398,0.0524,2.1333
150,585.480,19.042,22.042,-0.02565,406.73356,-0.25823,0.00363,0.0482,2.0229
151,nan,nan,nan,-0.01451,259.43200,-0.26574,0.00643,0.0491,2.0486
152,nan,nan,nan,-0.02062,337.41015,-0.27514,0.00194,0.0230,2.1499
153,nan,nan,nan,-0.02208,347.13098,-0.28761,0.00160,0.0225,2.0914
154,nan,nan,nan,-0.01589,326.17294,-0.32336,0.00790,0.0970,2.0791
155,nan,nan,nan,-0.00699,198.13586,-0.35189,0.00807,0.0789,1.8253
156,nan,nan,nan,-0.02117,304.67712,-0.31558,0.00077,0.0046,1.9320
157,nan,nan,nan,-0.01574,302.50045,-0.33239,0.00653,0.0756,1.9932
158,nan,nan,nan,-0.01897,311.10395,-0.38277,0.00455,0.0565,1.7769
159,nan,nan,nan,-0.01249,280.77426,-0.36860,0.01188,0.1133,1.6757
160,588.331,19.458,22.458,-0.01963,384.50717,-0.29224,0.00621,0.0722,1.9609
161,nan,nan,nan,-0.01376,363.81379,-0.25470,0.00081,0.0081,2.2723
162,nan,nan,nan,-0.01378,366.36739,-0.28919,0.00901,0.1020,2.2008
163,nan,nan,nan,-0.01595,271.41055,-0.32449,0.00203,0.0282,1.9504
164,nan,nan,nan,-0.01901,315.03164,-0.30920,0.00099,0.0072,2.0001
165,nan,nan,nan,-0.00794,277.19866,-0.33209,0.00401,0.0601,2.0651
166,nan,nan,nan,-0.00670,243.77530,-0.37438,0.00622,0.0717,1.8706
167,nan,nan,nan,-0.01566,314.53682,-0.36729,0.00713,0.0754,1.8814
168,nan,nan,nan,-0.01358,309.71168,-0.29354,0.01684,0.1448,2.0156
169,nan,nan,nan,-0.01197,306.99209,-0.24512,0.00289,0.0342,2.2879
170,622.800,20.958,23.958,-0.02039,399.21858,-0.26462,0.00765,0.0759,2.2620
171,nan,nan,nan,-0.01890,373.23251,-0.27294,0.00212,0.0294,2.1408
172,nan,nan,nan,-0.00830,286.43385,-0.27995,0.00600,0.0620,2.1921
173,nan,nan,nan,-0.00948,374.86423,-0.28942,0.01873,0.1304,2.1603
174,nan,nan,nan,-0.01599,374.63683,-0.28447,0.01468,0.1162,2.0366
175,nan,nan,nan,-0.01687,377.23965,-0.27768,0.00188,0.0262,2.2060
176,nan,nan,nan,-0.00745,302.08638,-0.29469,0.00142,0.0167,2.1453
177,nan,nan,nan,-0.01969,357.11451,-0.29597,0.00065,0.0025,2.1720
